campus,requirement_key,curriculum,location,location_slug,location_term_id,program_group,kind,position,requirement,advisory
vancouver,arts,countries,Argentina,argentina,547,Arts,minimum,1,No specific courses required beyond those needed for general admission,False
vancouver,arts,countries,Argentina,argentina,547,Arts,suggested_subjects,1,Language Arts,True
vancouver,arts,countries,Argentina,argentina,547,Arts,suggested_subjects,2,Mathematics and Computation,True
vancouver,arts,countries,Argentina,argentina,547,Arts,suggested_subjects,3,Second Languages,True
vancouver,arts,countries,Argentina,argentina,547,Arts,suggested_subjects,4,Social Studies,True
vancouver,arts,countries,Argentina,argentina,547,Arts,suggested_subjects,5,Visual and Performing Arts,True
vancouver,arts,countries,Argentina,argentina,547,Arts,general,1,"Graduation from a university-preparatory program at a senior secondary school: Bachillerato. Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Notarized copies are not acceptable.",False
vancouver,arts,countries,Argentina,argentina,547,Arts,english_language,1,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,False
vancouver,arts,countries,Australia,australia,546,Arts,minimum,1,No specific courses required beyond those needed for general admission,False
vancouver,arts,countries,Australia,australia,546,Arts,suggested_subjects,1,Language Arts,True
vancouver,arts,countries,Australia,australia,546,Arts,suggested_subjects,2,Mathematics and Computation,True
vancouver,arts,countries,Australia,australia,546,Arts,suggested_subjects,3,Second Languages,True
vancouver,arts,countries,Australia,australia,546,Arts,suggested_subjects,4,Social Studies,True
vancouver,arts,countries,Australia,australia,546,Arts,suggested_subjects,5,Visual and Performing Arts,True
vancouver,arts,countries,Australia,australia,546,Arts,general,1,Australian Capital Territory: ACT Year 12 Certificate,False
vancouver,arts,countries,Australia,australia,546,Arts,general,2,New South Wales: Higher School Certificate (you must have completed board-developed courses; assessment is based on both school-based assessment and external examinations),False
vancouver,arts,countries,Australia,australia,546,Arts,general,3,Northern Territory: Northern Territory Certificate of Education,False
vancouver,arts,countries,Australia,australia,546,Arts,general,4,Queensland: Queensland Certificate of Education,False
vancouver,arts,countries,Australia,australia,546,Arts,general,5,South Australia: South Australian Certificate of Education (assessment is based on both school-based assessment and external examinations),False
vancouver,arts,countries,Australia,australia,546,Arts,general,6,Tasmania: Tasmanian Certificate of Education,False
vancouver,arts,countries,Australia,australia,546,Arts,general,7,Victoria: Victoria Certificate of Education,False
vancouver,arts,countries,Australia,australia,546,Arts,general,8,Western Australia: Western Australia Certificate of Education,False
vancouver,arts,countries,Australia,australia,546,Arts,english_language,1,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,False
vancouver,arts,countries,Austria,austria,760,Arts,minimum,1,No specific courses required beyond those needed for general admission,False
vancouver,arts,countries,Austria,austria,760,Arts,suggested_subjects,1,Language Arts,True
vancouver,arts,countries,Austria,austria,760,Arts,suggested_subjects,2,Mathematics and Computation,True
vancouver,arts,countries,Austria,austria,760,Arts,suggested_subjects,3,Second Languages,True
vancouver,arts,countries,Austria,austria,760,Arts,suggested_subjects,4,Social Studies,True
vancouver,arts,countries,Austria,austria,760,Arts,suggested_subjects,5,Visual and Performing Arts,True
vancouver,arts,countries,Austria,austria,760,Arts,general,1,"Graduation from a university-preparatory program at a senior secondary school: Reifezeugnis/Matura (Maturity Certificate) from academic stream. Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Notarized copies are not acceptable.",False
