campus,requirement_key,curriculum,location,location_slug,location_term_id,available,specific_name,english,general,profile_note,note,minimum,grade_12,grade_11,recommended_grade_range,suggested_subjects
vancouver,arts,countries,Argentina,argentina,547,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Bachillerato. Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Australia,australia,546,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Notarized copies are not acceptable. Australian Capital Territory: ACT Year 12 Certificate New South Wales: Higher School Certificate (you must have completed board-developed courses; assessment is based on both school-based assessment and external examinations) Northern Territory: Northern Territory Certificate of Education Queensland: Queensland Certificate of Education South Australia: South Australian Certificate of Education (assessment is based on both school-based assessment and external examinations) Tasmania: Tasmanian Certificate of Education Victoria: Victoria Certificate of Education Western Australia: Western Australia Certificate of Education",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Austria,austria,760,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Reifezeugnis/Matura (Maturity Certificate) from academic stream. Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Azerbaijan,azerbaijan,804,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Azerbaijan Attestat o Srednem Obrazovanii (Certificate of Complete Secondary Education). Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Bahamas,bahamas,544,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: General Certificate of Education – Advanced Level. Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Notarized copies are not acceptable. Standing in at least six academic subject areas, including English, with at least three academic A-Level subjects (or six at the Advanced Subsidiary Level)",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Bahrain,bahrain,759,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Tawjahiya (General Secondary School Certificate). Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Bangladesh,bangladesh,758,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Higher Secondary Certificate (HSC)/Intermediate Certificate (IC). Certificates must be official. Photocopies are acceptable if certified by school principal, head, or counsellor. Notarized copies are not acceptable.",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Barbados,barbados,560,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Caribbean Secondary Education Certificate (CSEC) Caribbean Advanced Proficiency Examination Certificate (CAPE) Standing in at least six academic subjects, including English, with at least three academic CAPE subjects",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Basic,basic,549,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,Graduation from a university-preparatory program at a senior secondary school,,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
vancouver,arts,countries,Belize,belize,561,True,Arts,English is the language of instruction at UBC. All prospective students must demonstrate English-language competency prior to admission. There are numerous ways to meet the English Language Admission Standard.,"Graduation from a university-preparatory program at a senior secondary school: Caribbean Secondary Education Certificate (CSEC) Caribbean Advanced Proficiency Examination Certificate (CAPE) Standing in at least six academic subjects, including English, with at least three academic CAPE subjects",,,No specific courses required beyond those needed for general admission,,,,The following subject categories are particularly relevant for this degree. Consider taking courses in these areas in your junior year and senior year. Language Arts Mathematics and Computation Second Languages Social Studies Visual and Performing Arts
